row_id,pid,condition_id,style,decel,bus,density,wait_ehmi_duration,cross_ehmi_duration,crossing_status,crossing_delay,crossing_time,safety_margin,q1,q2,q3,early_traffic,early_window,success_flag,trial_order_raw,trial_order_c,paired_default_removed,normal_complete,raw_style,raw_delay,raw_status,wait_raw_any,cross_raw_any,wait_ehmi_any,cross_ehmi_any
1,1,0,1,1,0,0,,,1,1.71,2.454729,1.499248,6,,,0,0,1,9,-9.25,0,1,1,1.71,1,0,1,,
2,1,1,2,1,0,0,,0.188561,1,1.03,2.64163,2.16671,7,6,6,0,0,1,2,-16.25,0,1,2,1.03,1,0,1,0,1
3,1,2,3,1,0,0,,,,,,,,,,1,0,,27,8.75,0,0,3,-2.8,1,0,0,,
4,1,3,4,1,0,0,,0,1,1.21,2.611072,1.994346,7,7,7,0,0,1,7,-11.25,0,1,4,1.21,1,0,0,0,0
5,1,4,1,0,0,0,,,0,,,,,,,0,1,0,28,9.75,0,0,1,0,0,1,0,,
6,1,5,2,0,0,0,,0.1771106,1,1.02,2.313264,0.4997147,4,7,5,0,0,1,21,2.75,0,1,2,1.02,1,0,1,0,1
7,1,6,3,0,0,0,0.2203562,0.4370632,1,1.13,2.089295,0.5405532,4,7,6,0,0,1,26,7.75,0,1,3,1.13,1,1,1,1,1
8,1,7,4,0,0,0,,0,1,1.16,1.921391,0.6453773,4,6,7,0,0,1,1,-17.25,0,1,4,1.16,1,0,0,0,0
9,1,8,1,1,1,0,,,1,1.29,2.678346,1.757736,6,,,0,0,1,5,-13.25,0,1,1,1.29,1,0,0,,
10,1,9,2,1,1,0,0,,1,1,2.573777,2.144552,7,6,6,0,0,1,19,0.75,0,1,2,1,1,0,0,0,0
11,1,10,3,1,1,0,,,,,,,,,,1,0,,34,15.75,0,0,3,-4.54,1,0,0,,
12,1,11,4,1,1,0,,,1,0.53,2.653721,2.456413,7,7,7,0,0,1,18,-0.25,0,1,4,0.53,1,0,0,0,0
13,1,12,1,0,1,0,,,0,,,,,,,0,0,0,3,-15.25,0,0,1,5.14,0,1,0,,
14,1,13,2,0,1,0,,0.4872581,1,0.68,2.643162,0.5749243,4,5,7,0,0,1,33,14.75,0,1,2,0.68,1,0,1,0,1
15,1,14,3,0,1,0,,0.239151,1,0.71,2.29106,0.7422582,5,7,6,0,0,1,17,-1.25,0,1,3,0.71,1,0,1,0,1
16,1,15,4,0,1,0,0,0.5158972,1,0.8,2.450037,0.5536965,4,7,6,0,0,1,30,11.75,0,1,4,0.8,1,0,1,0,1
17,1,16,1,1,0,1,,,1,0.09,2.683095,2.920368,7,,,0,0,1,31,12.75,0,1,1,0.09,1,0,0,,
18,1,17,2,1,0,1,,0,1,1.14,2.412604,2.170909,7,7,7,0,0,1,22,3.75,0,1,2,1.14,1,0,0,0,0
19,1,18,3,1,0,1,,0.7146748,1,0.91,3.33275,1.848405,7,7,7,0,0,1,6,-12.25,0,1,3,0.91,1,0,1,0,1
20,1,19,4,1,0,1,0,,1,1.08,2.055128,2.54195,7,7,7,0,0,1,16,-2.25,0,1,4,1.08,1,0,0,0,0
21,1,20,1,0,0,1,,,0,,,,,,,0,0,0,12,-6.25,0,0,1,4.6,0,1,0,,
22,1,21,2,0,0,1,,0.1117624,1,1,2.12117,0.600519,4,6,6,0,0,1,20,1.75,0,1,2,1,1,0,1,0,1
23,1,22,3,0,0,1,0.0666254,0.1367813,1,1.31,1.855994,0.5423447,6,7,7,0,0,1,15,-3.25,0,1,3,1.31,1,1,1,1,1
24,1,23,4,0,0,1,,0.0658097,1,1.3,2.050561,0.4516347,6,7,7,0,0,1,11,-7.25,0,1,4,1.3,1,0,1,0,1
25,1,24,1,1,1,1,,,1,0.14,1.79853,3.520093,7,,,0,0,1,29,10.75,0,1,1,0.14,1,0,0,,
26,1,25,2,1,1,1,0,,1,0.86,2.633387,2.213743,6,7,7,0,0,1,14,-4.25,0,1,2,0.86,1,0,0,0,0
27,1,26,3,1,1,1,,,1,1.37,2.456097,1.838695,7,7,6,0,0,1,8,-10.25,0,1,3,1.37,1,0,0,0,0
28,1,27,4,1,1,1,,0.2235255,1,0.13,2.732952,3.049952,7,7,5,0,0,1,32,13.75,0,1,4,0.13,1,0,1,0,1
29,1,28,1,0,1,1,,,1,,1.641637,1.584487,7,,,0,1,1,24,5.75,0,1,1,-0.04,1,0,0,,
30,1,29,2,0,1,1,0.1069152,0.7839238,1,1.11,2.006515,0.566392,4,6,7,0,0,1,4,-14.25,0,1,2,1.11,1,1,1,1,1
31,1,30,3,0,1,1,,0.0824525,1,0.04,2.588281,1.065381,7,7,7,0,0,1,35,16.75,0,1,3,0.04,1,0,1,0,1
32,1,31,4,0,1,1,,0.0888545,1,,2.200114,1.41467,7,6,4,0,1,1,25,6.75,0,1,4,-0.14,1,0,1,0,1
33,2,0,1,1,0,0,,,1,2.26,2.163867,1.15722,1,,,0,0,1,1,-15.5,0,1,1,2.26,1,1,1,,
34,2,1,2,1,0,0,0.6871085,,1,1.02,2.335173,2.279861,3,3,5,0,0,1,32,15.5,0,1,2,1.02,1,1,0,1,0
35,2,2,3,1,0,0,0.4057881,0.3048408,1,1.31,2.053957,2.298034,5,6,5,0,0,1,26,9.5,0,1,3,1.31,1,1,1,1,1
36,2,3,4,1,0,0,0.7072708,0.7306213,1,1.26,2.311709,2.146006,5,6,6,0,0,1,18,1.5,0,1,4,1.26,1,1,1,1,1
37,2,4,1,0,0,0,,,0,,,,,,,0,1,0,29,12.5,0,0,1,0,0,1,0,,
38,2,5,2,0,0,0,0.525765,0.715586,1,0.85,2.294025,0.7030189,3,4,5,0,0,1,6,-10.5,0,1,2,0.85,1,1,1,1,1
39,2,6,3,0,0,0,0.3347975,0.2242916,1,1.11,2.031988,0.7345233,3,6,5,0,0,1,10,-6.5,0,1,3,1.11,1,1,1,1,1
40,2,7,4,0,0,0,0.9321987,0.6231259,1,1.12,2.676066,0.2260584,3,3,5,0,0,1,3,-13.5,0,1,4,1.12,1,1,1,1,1
41,2,8,1,1,1,0,,,1,2.01,2.204924,1.438734,3,,,0,0,1,17,0.5,0,1,1,2.01,1,1,0,,
42,2,9,2,1,1,0,0.2661319,0.2450991,1,0.55,2.233944,2.783165,6,3,5,0,0,1,14,-2.5,0,1,2,0.55,1,1,1,1,1
43,2,10,3,1,1,0,0.2665146,0.1376334,1,1.24,1.889813,2.428898,7,6,5,0,0,1,23,6.5,0,1,3,1.24,1,1,1,1,1
44,2,11,4,1,1,0,0.9568767,0.8193012,1,1.07,2.530083,2.005142,5,6,6,0,0,1,7,-9.5,0,1,4,1.07,1,1,1,1,1
45,2,12,1,0,1,0,,,0,,,,,,,0,1,0,31,14.5,0,0,1,0,0,1,0,,
46,2,13,2,0,1,0,0.6032324,0.3284194,1,0.82,1.952546,0.8058097,3,2,3,0,0,1,12,-4.5,0,1,2,0.82,1,1,1,1,1
47,2,14,3,0,1,0,0.6209644,0.1524259,1,1.07,1.862733,0.7216783,4,6,5,0,0,1,24,7.5,0,1,3,1.07,1,1,1,1,1
48,2,15,4,0,1,0,0.6204168,0.4760623,1,0.55,2.310725,0.8270534,3,6,5,0,0,1,8,-8.5,0,1,4,0.55,1,1,1,1,1
49,2,16,1,1,0,1,,,1,1.9,2.242519,1.450699,2,,,0,0,1,11,-5.5,0,1,1,1.9,1,1,1,,
50,2,17,2,1,0,1,0.1140557,0.118869,1,0.97,2.134051,2.476057,3,3,3,0,0,1,13,-3.5,0,1,2,0.97,1,1,1,1,1
51,2,18,3,1,0,1,0.4921851,0.6860969,1,1.38,2.493739,1.80826,5,6,5,0,0,1,2,-14.5,0,1,3,1.38,1,1,1,1,1
52,2,19,4,1,0,1,0.3108869,0.3219441,1,1.34,2.235887,2.133904,5,7,7,0,0,1,19,2.5,0,1,4,1.34,1,1,1,1,1
53,2,20,1,0,0,1,,,0,,,,,,,0,1,0,27,10.5,0,0,1,0,0,1,0,,
54,2,21,2,0,0,1,0.5838543,0.2173099,1,1.07,2.025174,0.6516072,4,3,5,0,0,1,20,3.5,0,1,2,1.07,1,1,1,1,1
55,2,22,3,0,0,1,0.1329656,0.2004094,1,1.13,1.793822,0.7434247,2,6,5,0,0,1,22,5.5,0,1,3,1.13,1,1,1,1,1
56,2,23,4,0,0,1,0.821516,0.1875202,1,1.22,2.02563,0.5095214,5,6,6,0,0,1,9,-7.5,0,1,4,1.22,1,1,1,1,1
57,2,24,1,1,1,1,,,1,1.64,2.388681,1.679762,1,,,0,0,1,4,-12.5,0,1,1,1.64,1,1,0,,
58,2,25,2,1,1,1,0.0710612,0.103633,1,0.8,2.099342,2.699269,5,3,5,0,0,1,16,-0.5,0,1,2,0.8,1,1,1,1,1
59,2,26,3,1,1,1,0.1790473,0.1853156,1,1.07,1.830868,2.59793,5,6,5,0,0,1,28,11.5,0,1,3,1.07,1,1,1,1,1
60,2,27,4,1,1,1,0.4505208,0.3015335,1,1.11,2.056115,2.550243,4,5,6,0,0,1,25,8.5,0,1,4,1.11,1,1,1,1,1
61,2,28,1,0,1,1,,,0,,,,,,,0,1,0,30,13.5,0,0,1,0,0,1,0,,
62,2,29,2,0,1,1,0.4649501,0.8905633,1,0.78,2.276077,0.7252852,4,3,4,0,0,1,5,-11.5,0,1,2,0.78,1,1,1,1,1
63,2,30,3,0,1,1,0.465022,0.1068781,1,0.78,2.121872,0.7902623,3,6,5,0,0,1,15,-1.5,0,1,3,0.78,1,1,1,1,1
64,2,31,4,0,1,1,0.1115862,0.3105563,1,0.96,1.769433,0.8326622,5,5,5,0,0,1,21,4.5,0,1,4,0.96,1,1,1,1,1
65,3,0,1,1,0,0,,,1,1.48,2.135873,2.039283,3,,,0,0,1,19,3,0,1,1,1.48,1,1,0,,
66,3,1,2,1,0,0,0,,1,1.54,2.242715,1.865996,7,7,7,0,0,1,20,4,0,1,2,1.54,1,0,0,0,0
67,3,2,3,1,0,0,0,,1,1.39,2.264741,2.014336,6,7,7,0,0,1,29,13,0,1,3,1.39,1,0,0,0,0
68,3,3,4,1,0,0,0.0672391,,1,1.22,2.333886,2.147598,5,7,7,0,0,1,28,12,0,1,4,1.22,1,1,0,1,0
69,3,4,1,0,0,0,,,0,,,,,,,0,1,0,17,1,0,0,1,0,0,1,0,,
70,3,5,2,0,0,0,,,0,,,,,,,0,1,0,2,-14,0,0,2,0,0,1,0,1,
71,3,7,4,0,0,0,0,,1,1.57,2.093068,0.20419,2,7,4,0,0,1,7,-9,0,1,4,1.57,1,0,0,0,0
72,3,8,1,1,1,0,,,1,2.58,2.076939,0.9516876,4,,,0,0,1,11,-5,0,1,1,2.58,1,1,0,,
73,3,9,2,1,1,0,0.3995506,,1,1.17,2.148225,2.334568,5,7,7,0,0,1,24,8,0,1,2,1.17,1,1,0,1,0
74,3,10,3,1,1,0,0.5774822,,1,1.53,2.069503,2.020884,5,7,7,0,0,1,25,9,0,1,3,1.53,1,1,0,1,0
75,3,11,4,1,1,0,0.4467472,,1,1.31,2.046994,2.270475,6,6,7,0,0,1,3,-13,0,1,4,1.31,1,1,0,1,0
76,3,12,1,0,1,0,,,0,,,,,,,0,1,0,22,6,0,0,1,0,0,1,0,,
77,3,13,2,0,1,0,0.0649999,,1,0.99,2.101886,0.7210792,6,7,7,0,0,1,9,-7,0,1,2,0.99,1,1,0,1,0
78,3,14,3,0,1,0,0.0221536,,1,1.32,2.097266,0.4345913,4,6,6,0,0,1,1,-15,0,1,3,1.32,1,1,0,1,0
79,3,15,4,0,1,0,0.50998369,,1,1.03,2.130188,0.6564054,4,7,7,0,0,1,18,2,0,1,4,1.03,1,1,0,1,0
80,3,16,1,1,0,1,,,1,1.72,2.258514,1.715752,5,,,0,0,1,15,-1,0,1,1,1.72,1,0,0,,
81,3,17,2,1,0,1,0.0414137,,1,1.35,2.037071,2.229836,6,7,7,0,0,1,4,-12,0,1,2,1.35,1,1,0,1,0
82,3,18,3,1,0,1,0.0670032,,1,1.39,2.082299,2.185037,5,7,7,0,0,1,8,-8,0,1,3,1.39,1,1,0,1,0
83,3,19,4,1,0,1,0.0436327,,1,1.62,2.07685,1.983034,5,7,7,0,0,1,10,-6,0,1,4,1.62,1,1,0,1,0
84,3,20,1,0,0,1,,,0,,,,,,,0,1,0,13,-3,0,0,1,0,0,1,0,,
85,3,21,2,0,0,1,0.0439143,,1,1.31,2.174651,0.379705,5,7,7,0,0,1,30,14,0,1,2,1.31,1,1,0,1,0
86,3,22,3,0,0,1,,,0,,,,,,,0,1,0,6,-10,0,0,3,0,0,1,0,1,
87,3,23,4,0,0,1,0,,1,1.2,2.351605,0.4145975,6,7,7,0,0,1,26,10,0,1,4,1.2,1,0,0,0,0
88,3,24,1,1,1,1,,,1,1.66,2.099588,1.807717,4,,,0,0,1,12,-4,0,1,1,1.66,1,1,0,,
89,3,25,2,1,1,1,0.0219657,,1,1.2,2.108123,2.357022,5,7,7,0,0,1,5,-11,0,1,2,1.2,1,1,0,1,0
90,3,26,3,1,1,1,0,,1,1.06,2.25866,2.365102,5,6,6,0,0,1,21,5,0,1,3,1.06,1,0,0,0,0
91,3,27,4,1,1,1,0,,1,0.97,2.258419,2.465628,5,7,6,0,0,1,16,0,0,1,4,0.97,1,0,0,0,0
92,3,28,1,0,1,1,,,0,,,,,,,0,1,0,23,7,0,0,1,0,0,1,0,,
93,3,29,2,0,1,1,0.0671095,,1,0.87,2.145787,0.7072386,6,7,7,0,0,1,14,-2,0,1,2,0.87,1,1,0,1,0
94,3,30,3,0,1,1,0.0678922,,1,0.51,2.25483,0.9058988,6,7,6,0,0,1,27,11,0,1,3,0.51,1,1,0,1,0
95,3,31,4,0,1,1,0.0685293,,1,1.16,2.226667,0.506205,6,7,7,0,0,1,31,15,0,1,4,1.16,1,1,0,1,0
96,4,0,1,1,0,0,,,1,1.89,3.205343,0.7241999,5,,,0,0,1,18,-1.1875,0,1,1,1.89,1,0,0,,
97,4,1,2,1,0,0,0,0.043792,1,0.82,3.422897,1.527948,6,4,5,0,0,1,5,-14.1875,0,1,2,0.82,1,0,1,0,1
98,4,2,3,1,0,0,0,0.020064,1,1.11,3.716641,1.473187,5,6,7,0,0,1,28,8.8125,0,1,3,1.11,1,0,1,0,1
99,4,3,4,1,0,0,,0,1,0.94,3.173393,1.665272,6,6,7,0,0,1,4,-15.1875,0,1,4,0.94,1,0,0,0,0
100,4,4,1,0,0,0,,,0,,,,,,,0,1,0,35,15.8125,0,0,1,0,0,0,0,,
101,4,5,2,0,0,0,0,0,1,0.72,3.371405,0.1131622,2,3,4,0,0,1,17,-2.1875,0,1,2,0.72,1,0,0,0,0
102,4,6,3,0,0,0,0,,-1,,,,,5,4,0,0,0,23,3.8125,0,0,3,1.06,-1,0,0,0,0
103,4,7,4,0,0,0,,0,1,,3.446229,0.5412164,3,5,5,0,1,1,27,7.8125,0,1,4,-0.12,1,0,0,0,0
104,4,8,1,1,1,0,,,,,,,,,,1,0,,29,9.8125,0,0,1,-2.88,-1,0,0,,
105,4,9,2,1,1,0,,,,,,,,,,1,0,,30,10.8125,0,0,2,-5.02,1,0,0,,
106,4,10,3,1,1,0,,0,1,0.13,3.165287,2.486991,7,6,6,0,0,1,20,0.8125,0,1,3,0.13,1,0,0,0,0
107,4,11,4,1,1,0,,0,1,,2.800925,3.292095,7,6,7,0,1,1,32,12.8125,0,1,4,-0.32,1,0,0,0,0
108,4,12,1,0,1,0,,,0,,,,,,,0,0,0,25,5.8125,0,0,1,4.76,0,0,0,,
109,4,13,2,0,1,0,,0,1,0.74,2.649886,0.5770046,4,5,5,0,0,1,31,11.8125,0,1,2,0.74,1,0,0,0,0
110,4,14,3,0,1,0,,0.110736,1,,3.889547,0.4065723,5,5,6,0,1,1,9,-10.1875,0,1,3,-0.1,1,0,1,0,1
111,4,15,4,0,1,0,,,0,,,,,,,0,0,0,21,1.8125,0,0,4,4.98,0,0,0,0,
112,4,16,1,1,0,1,,,1,1.07,3.740574,1.070196,7,,,0,0,1,11,-8.1875,0,1,1,1.07,1,0,0,,
113,4,17,2,1,0,1,,0,1,,3.646992,2.940973,6,5,6,0,1,1,36,16.8125,0,1,2,-0.44,1,0,0,0,0
114,4,18,3,1,0,1,0,0,1,0.77,3.014068,1.957796,7,7,7,0,0,1,1,-18.1875,0,1,3,0.77,1,0,0,0,0
115,4,19,4,1,0,1,0,0.020833,1,0.91,2.962033,1.906866,6,7,7,0,0,1,22,2.8125,0,1,4,0.91,1,0,1,0,1
116,4,20,1,0,0,1,,,0,,,,,,,0,0,0,13,-6.1875,0,0,1,2.77,0,0,0,,
117,4,21,2,0,0,1,,0,1,0.14,3.135692,0.5545652,3,3,5,0,0,1,16,-3.1875,0,1,2,0.14,1,0,0,0,0
118,4,22,3,0,0,1,0,0,1,0.91,2.408024,0.4722169,3,4,4,0,0,1,33,13.8125,0,1,3,0.91,1,0,0,0,0
119,4,23,4,0,0,1,,,1,0.85,2.48756,0.6263397,4,6,7,0,0,1,3,-16.1875,0,1,4,0.85,1,0,0,0,0
120,4,24,1,1,1,1,,,1,,3.020806,3.18541,7,,,0,1,1,12,-7.1875,0,1,1,-0.48,1,0,0,,
121,4,25,2,1,1,1,0,0,1,0.2,3.776538,1.709473,6,5,5,0,0,1,19,-0.1875,0,1,2,0.2,1,0,0,0,0
122,4,26,3,1,1,1,0,0,1,0.78,2.631302,2.323074,6,7,7,0,0,1,2,-17.1875,0,1,3,0.78,1,0,0,0,0
123,4,27,4,1,1,1,0.09087941,0,1,0.11,2.897117,2.768603,7,6,6,0,0,1,14,-5.1875,0,1,4,0.11,1,1,0,1,0
124,4,28,1,0,1,1,,,0,,,,,,,0,0,0,26,6.8125,0,0,1,5.19,0,0,0,,
125,4,29,2,0,1,1,,,,,,,,,,1,0,,8,-11.1875,0,0,2,-5.02,1,0,1,,
126,4,30,3,0,1,1,,0,1,0.11,3.330025,0.5513327,5,5,5,0,0,1,10,-9.1875,0,1,3,0.11,1,0,0,0,0
127,4,31,4,0,1,1,,0,1,,2.365146,1.176182,4,4,5,0,1,1,34,14.8125,0,1,4,-0.14,1,0,0,0,0
128,5,0,1,1,0,0,,,0,,,,,,,0,1,0,4,-14.28125,0,0,1,0,0,0,0,,
129,5,1,2,1,0,0,0.44404,0.8685419,1,1.22,3.351501,1.194385,4,3,4,0,0,1,27,8.71875,0,1,2,1.22,1,1,1,1,1
130,5,2,3,1,0,0,1.1391389,0.6898417,1,1.78,3.230624,0.6972774,3,5,4,0,0,1,34,15.71875,0,1,3,1.78,1,1,1,1,1
131,5,3,4,1,0,0,0.9058356,0.7571773,1,1.34,2.860849,1.518414,5,6,6,0,0,1,14,-4.28125,0,1,4,1.34,1,1,1,1,1
132,5,4,1,0,0,0,,,0,,,,,,,0,1,0,10,-8.28125,0,0,1,0,0,1,0,,
133,5,5,2,0,0,0,,,,,,,,,,1,0,,33,14.71875,0,0,2,-5.02,0,0,0,,
134,5,6,3,0,0,0,,,0,,,,,,,0,1,0,20,1.71875,0,0,3,0,0,0,0,0,
