被试编号,实验条件,eHMI样式,紧急程度,追赶公交车,车流密度,环境照度,注视次数eHMI1,eHMI2,eHMI3,eHMI,车辆,总,注视时长eHMI1,eHMI2,eHMI3,eHMI,车辆,总,首次注视,穿越过程注视次数eHMI1,eHMI2,eHMI3,eHMI,车辆,总,穿越过程注视时长eHMI1,eHMI2,eHMI3,eHMI,车辆,总,首次注视,瞳孔最大,瞳孔平均,瞳孔差值,穿越过程瞳孔最大,穿越过程瞳孔平均,穿越过程瞳孔差值,穿越状态,穿越延误,穿越时间,安全边际,安全距离,Q1,Q2,Q3
1,7,4,2,False,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604347,0.0604347,0,3.870659,3.139648,0.4322803,4.257729,3.67278,0.4419801,1,1.16,1.921391,0.6453773,2.404221,4,6,7
1,1,2,1,False,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0.188561,0,0.188561,0,0.188561,2.540109,3.322823,2.523287,0.09732056,3.942345,3.082517,0.9225931,1,1.03,2.64163,2.16671,6.023453,7,6,6
1,12,1,2,True,Low,Clear,1,0,0,1,7,8,0.0908257,0,0,0.0908257,1.529255,1.620081,3.354599,0,0,0,0,0,0,0,0,0,0,0,0,0,3.799492,3.27223,0.4332635,3.517403,3.113998,0.4034042,0,5.14,0.285619,0,0,1,1,1
1,29,2,2,True,High,Clear,0,0,0,0,0,0,0,0.1069152,0,0.1069152,0.0880724,0.1949876,0,1,1,0,2,4,6,0.0604138,0.7235099,0,0.7839237,0.3847242,1.168648,0.3504544,3.737694,3.278414,0.3690276,4.07341,3.581099,0.3379829,1,1.11,2.006515,0.566392,2.055604,4,6,7
1,8,1,1,True,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.756096,3.460599,0.3103418,3.914917,3.22375,0.7183774,1,1.29,2.678346,1.757736,4.886506,6,1,1
1,18,3,1,False,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,0,6,0.2303179,0.4843569,0,0.7146748,0.1683232,0.882998,0.1209279,3.309311,2.80059,0.5087211,3.526917,2.984855,0.4874747,1,0.91,3.33275,1.848405,5.138566,7,7,7
1,3,4,1,False,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1843059,0.1843059,0,3.2211,2.960144,0.1955364,3.852272,3.014036,0.745157,1,1.21,2.611072,1.994346,5.544281,7,7,7
1,26,3,1,True,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.403412,3.115928,0.1834888,3.80423,3.316855,0.4546871,1,1.37,2.456097,1.838695,5.111573,7,7,6
1,0,1,1,False,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.2297903,0,0.2297903,0.2456194,0.4754097,0,4.194099,3.013559,1.338527,3.847046,3.138073,0.7129223,1,1.71,2.454729,1.499248,4.167908,6,7,6
1,23,4,2,False,High,Clear,0,0,0,0,0,0,0,0,0,0,0.6242289,0.6242289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.411964,3.112057,0.299907,0,-5.02,0.8226554,0,0,4,7,7
1,23,4,2,False,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658097,0,0.0658097,0.4846862,0.5504959,0,3.510139,2.902431,0.4589486,4.179413,3.48275,0.3670552,1,1.30,2.050561,0.4516347,1.537949,6,7,7
